Título,Ubicación,Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Piloto automático,Aire acondicionado,Dirección,Control de tracción,Capacidad de personas,Capacidad del tanque,Potencia,Largo,Altura,Ancho,Distancia entre ejes,Precio
Toyota Hilux Pick-Up 2.8 Cd Srv 177cv 4x4 At,Bs.As. G.B.A. Oeste,Toyota,Hilux Pick-Up,2020,2.8 Cd Srv 177cv 4x4 At,Gris,Diésel,4,Automática,2.8,Pick-Up,55000,Sí,,Hidráulica,4x4,5,80 L,177,5260,1850,1855,2860 mm,33000
Renault Kangoo 1.6 Furgon Ph3 Confort 1plc,Bs.As. G.B.A. Norte,Renault,Kangoo,2017,1.6 Furgon Ph3 Confort 1plc,Rojo,Nafta,3,Manual,1.6,Furgón,134000,No,Sí,Hidráulica,Delantera,2,52 L,95,4010,1860,1672,2600 mm,11500
Volkswagen Fox 1.6 Comfortline 3 p,Bs.As. G.B.A. Norte,Volkswagen,Fox,2011,1.6 Comfortline 3 p,Negro,Nafta,3,Manual,1.6,Hatchback,140000,No,Sí,,Delantera,5,50 L,101,3823,1544,1641,2465 mm,7000
Toyota Etios 1.5 XLS MT,Capital Federal,Toyota,Etios,2019,1.5 XLS MT,Negro,Nafta,5,Manual,1,Hatchback,33000,No,No,Asistida,FWD,5,45 L,103,4265,1510,1695,2460 mm,18510000
Volkswagen Amarok 2.0 Cd Tdi 180cv 4x2 Highline Pack,Bs.As. G.B.A. Norte,Volkswagen,Amarok,2017,2.0 Cd Tdi 180cv 4x2 Highline Pack,,Diésel,4,Manual,2.0,Pick-Up,189000,Sí,,Hidráulica,4x2,5,80 L,180,5254,1834,1944,3095 mm,22500
Chevrolet Cruze II 1.4 Sedan Lt,Capital Federal,Chevrolet,Cruze II,2017,1.4 Sedan Lt,,Nafta,4,Manual,1.4,Sedán,84000,Sí,Sí,Asistida,Delantera,5,60 L,153,4510,1477,1677,2467 mm,13000
Toyota Corolla 1.8 Xei Cvt Pack 140cv,Bs.As. G.B.A. Oeste,Toyota,Corolla,2014,1.8 Xei Cvt Pack 140cv,Blanco,Nafta,4,Automática,1.8,Sedán,170000,Sí,Sí,Eléctrica,Delantera,5,57 L,140,4620,1460,1760,2600 mm,13500
Ford Ranger 3.0 Cd 4X4 Xls At 250Cv,Bs.As. G.B.A. Sur,Ford,Ranger,2023,3.0 Cd 4X4 Xls At 250Cv,Azul,Diésel,4,Automática,3.0,Pick-Up,32900,Sí,Sí,Hidráulica,4x4,,,250,,,,,39900
Renault Duster 2.0 PH2 DAKAR MT 4x4,Bs.As. G.B.A. Norte,Renault,Duster,2018,2.0 PH2 DAKAR MT 4x4,Plateado,Nafta,5,Manual,1,SUV,44353,No,No,Asistida,4x4,5,50 L,143,4329,1683,1822,2674 mm,20210000
Audi A4 2.0 40 Tfsi Front,Santa Fe,Audi,A4,2021,2.0 40 Tfsi Front,,Nafta,4,Manual,2.0,Sedán,60000,,Sí,Eléctrica,Delantera,5,54 L,252,4726,1427,1983,2933 mm,43000
Peugeot 308 1.6 Sport Thp 163cv,Bs.As. G.B.A. Sur,Peugeot,308,2013,1.6 Sport Thp 163cv,Gris,Nafta,5,Automática,1.6,Hatchback,88000,Sí,Sí,Hidráulica,Delantera,5,60 L,163,4276,1519,1815,2608 mm,10900
Audi A3 2.0 Tfsi Sedan 190cv,Bs.As. G.B.A. Sur,Audi,A3,2018,2.0 Tfsi Sedan 190cv,Gris,Nafta,4,Automática,2.0,Sedán,70000,,Sí,Eléctrica,Delantera,5,55 L,190,4238,1421,1842,2468 mm,32000
Ford Ka 1.5 S 5 p,Bs.As. G.B.A. Norte,Ford,Ka,2018,1.5 S 5 p,,Nafta,5,Manual,1.5,Hatchback,95000,,,Eléctrica,Delantera,5,51 L,123,3969,1464,1777,2686 mm,13000000
Chevrolet Tracker 1.8 Ltz 140cv,Río Negro,Chevrolet,Tracker,2018,1.8 Ltz 140cv,Gris,Nafta,5,Automática,1.8,SUV,96500,No,Sí,,Integral,5,53 L,140,4248,1674,1657,2465 mm,16900
Volkswagen Polo 1.6 Comfortline,Bs.As. G.B.A. Oeste,Volkswagen,Polo,2018,1.6 Comfortline,Rojo,Nafta,4,Manual,1.6,Sedán,69000,,,Hidráulica,Delantera,5,50 L,110,4384,1465,1699,2552 mm,17500
Volkswagen Fox 1.6 Confortline Pack Saf,Bs.As. G.B.A. Sur,Volkswagen,Fox,2015,1.6 Confortline Pack Saf,,Nafta,5,Manual,1.6,Hatchback,69700,,,Hidráulica,Delantera,5,50 L,101,3823,1544,1660,2467 mm,13000000
Volkswagen Fox 1.6 Pepper,Bs.As. G.B.A. Sur,Volkswagen,Fox,2016,1.6 Pepper,Blanco,Nafta,5,Manual,1.6,Hatchback,72000,Sí,Sí,Eléctrica,Delantera,5,50 L,110,3823,1552,1660,2467 mm,13500
Chevrolet Tracker 1.8 Ltz 140cv,Santa Fe,Chevrolet,Tracker,2017,1.8 Ltz 140cv,Verde,Nafta,5,Automática,1.8,SUV,127000,Sí,Sí,Asistida,Integral,5,53 L,140,4248,1674,1657,2465 mm,18900000
Ford Ranger 3.0 Cd Xl Plus 4x2,Buenos Aires Interior,Ford,Ranger,2008,3.0 Cd Xl Plus 4x2,Negro,Diésel,2,Manual,3.0,Pick-Up,380000,,,Hidráulica,4x2,5,75 L,163,5143,1765,1880,2740 mm,10000
