Título,Ubicación,Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Piloto automático,Aire acondicionado,Dirección,Control de tracción,Capacidad de personas,Capacidad del tanque,Potencia,Largo,Altura,Ancho,Distancia entre ejes,Precio
Toyota Corolla 1.8 Xei Cvt Pack 140cv,Córdoba,Toyota,Corolla,2015,1.8 Xei Cvt Pack 140cv,Blanco,Nafta,4,Automática,1.8,Sedán,189000,Sí,,Eléctrica,Delantera,5,57 L,140,4620,1460,1775,2700 mm,17000000
Ford Focus III 2.0 Sedan Se Plus At6,Capital Federal,Ford,Focus III,2017,2.0 Sedan Se Plus At6,,Nafta,4,Automática,2.0,Sedán,67890,,,Eléctrica,Delantera,5,55 L,170,4534,1484,1742,2630 mm,18000000
Toyota Yaris 1.5 107cv,Capital Federal,Toyota,Yaris,2018,1.5 107cv,Blanco,Nafta,5,Automática,1.5,Hatchback,109000,,,,Delantera,5,42 L,107,3945,1510,1695,2550 mm,19800000
BMW Serie 3 2.5 325i Sedan,Bs.As. G.B.A. Norte,BMW,Serie 3,1995,2.5 325i Sedan,Negro,Nafta,4,Manual,2.5,Sedán,215000,,Sí,Eléctrica,Trasera,5,63 L,192,4471,1415,1739,2725 mm,8500
Renault Duster 2.0 Ph2 4x4 Privilege,Capital Federal,Renault,Duster,2018,2.0 Ph2 4x4 Privilege,Plateado,Nafta,5,Manual,2.0,SUV,88500,,,,4x4,5,50 L,143,4329,1683,1822,2674 mm,22300000
Fiat Cronos 1.3 Gse Drive Pack Conectividad,Bs.As. G.B.A. Sur,Fiat,Cronos,2019,1.3 Gse Drive Pack Conectividad,Blanco,Nafta,4,Manual,1.3,Sedán,73200,,Sí,Eléctrica,Delantera,5,48 L,99,4364,1508,1724,2521 mm,12150000
BMW Serie 2 3.0 M235i M Package 326cv,Capital Federal,BMW,Serie 2,2016,3.0 M235i M Package 326cv,Negro,Nafta,2,Automática,3.0,,80000,,Sí,Asistida,Trasera,4,52 L,326,4432,1418,1740,2753 mm,47000
Nissan Kicks 1.6 Advance Cvt 120cv,Mendoza,Nissan,Kicks,2023,1.6 Advance Cvt 120cv,,Nafta,5,Automática,1.6,Hatchback,29000,,,,Delantera,5,41 L,120,4295,1590,1760,2610 mm,31490000
Toyota SW4 3.0 Srv Cuero I 171cv 4x4 4at,Bs.As. G.B.A. Norte,Toyota,SW4,2011,3.0 Srv Cuero I 171cv 4x4 4at,,Diésel,5,Automática,3.0,SUV,231000,Sí,,Hidráulica,4x4,7,80 L,171,4705,1850,1840,2750 mm,24000
BMW Serie 3 2.5 325ti Compact Active,Bs.As. G.B.A. Oeste,BMW,Serie 3,2005,2.5 325ti Compact Active,Azul,Nafta,2,Manual,2.5,Coupé,97000,,Sí,Eléctrica,Trasera,5,63 L,192,4471,1415,1739,2725 mm,10000
