Título,Ubicación,Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Piloto automático,Aire acondicionado,Dirección,Control de tracción,Capacidad de personas,Capacidad del tanque,Potencia,Largo,Altura,Ancho,Distancia entre ejes,Precio
Toyota Hilux Pick-Up 2.8 Cd Srv 177cv 4x4 At,Bs.As. G.B.A. Oeste,Toyota,Hilux Pick-Up,2020,2.8 Cd Srv 177cv 4x4 At,Gris,Diésel,4,Automática,2.8,Pick-Up,55000,Sí,Sí,Hidráulica,4x4,5,80 L,177,5260,1850,1855,2860 mm,34500
Mercedes-Benz Clase GLC 3.0 Glc Coupé 43 4matic 390 Cv,Capital Federal,,Clase GLC,2023,3.0 Glc Coupé 43 4matic 390 Cv,Blanco,Nafta,5,Automática,3.0,Coupé,3000,,Sí,Eléctrica,4x4,5,56 L,390,4417,1494,1890,2873 mm,185000
Audi A1 1.4 Tfsi Stronic 125cv,Bs.As. G.B.A. Oeste,Audi,A1,2016,1.4 Tfsi Stronic 125cv,Negro,Nafta,3,Automática,1.4,Hatchback,60000,No,Sí,Asistida,Delantera,4,45 L,122,3954,1416,1740,2469 mm,21300
Fiat Cronos 1.3 Drive Mt,Capital Federal,Fiat,Cronos,2022,1.3 Drive Mt,Blanco,Nafta,4,Manual,1.3,Sedán,33000,No,Sí,Eléctrica,Delantera,5,48 L,99,4364,1508,1724,2521 mm,17900000
Audi A4 1.8 T Fsi Manual,Bs.As. G.B.A. Norte,Audi,A4,2008,1.8 T Fsi Manual,Plateado,Nafta,4,Manual,1.8,Sedán,95000,Sí,Sí,Asistida,Delantera,5,65 L,160,4703,1427,1781,2495 mm,12000
Chevrolet,Misiones,Chevrolet,Cruze,2023,5P 1.4 RS AT,Blanco,Nafta,5,,,,21410,,,,,,,,,,,,36000000
Ford Ecosport 1.6 Xls Mp3 4x2,Bs.As. G.B.A. Oeste,Ford,Ecosport,2010,1.6 Xls Mp3 4x2,,Nafta,5,Manual,1.6,SUV,160000,,Sí,Hidráulica,4x2,5,54 L,98,4240,1679,1837,2613 mm,8000
Volkswagen Golf 2.0 Gti Tsi App Connect + Cuero,Bs.As. G.B.A. Norte,Volkswagen,Golf,2018,,Azul,Nafta,5,Automática,2.0,Hatchback,57000,Sí,,Eléctrica,Delantera,5,50 L,230,4255,1452,1799,2631 mm,33800
RAM 1500 5.7 Laramie Atx V8,Mendoza,RAM,1500,2020,5.7 Laramie Atx V8,,Nafta,4,Automática,5.7,Pick-Up,16500,Sí,,Hidráulica,4x4,5,98 L,395,5817,1983,2017,3797 mm,51500
Citroën Berlingo Furgon 1.6 Hdi 92 Bussines,Bs.As. G.B.A. Sur,,Berlingo Furgon,2018,1.6 Hdi 92 Bussines,Plateado,Diésel,3,Manual,1.6,Furgón,120000,,Sí,Hidráulica,Delantera,2,60 L,92,4137,1804,1960,2693 mm,17000000
Toyota Yaris 1.5 107cv Xls Cvt,Capital Federal,Toyota,Yaris,2020,1.5 107cv Xls Cvt,,Nafta,5,Automática,1.5,Hatchback,57000,,,,Delantera,5,42 L,107,3945,1510,1695,2550 mm,18000
Ford Fiesta Kinetic Desing 1.6,Capital Federal,Ford,Fiesta Kinetic Design,2011,1.6 Design 120cv Titanium,Azul,Nafta,5,Manual,1.6,Hatchback,143500,Sí,Sí,Eléctrica,Delantera,5,45 L,120,4066,1473,1808,2350 mm,8400
Volkswagen Voyage 1.6 Comfortline 101cv,Bs.As. G.B.A. Sur,Volkswagen,Voyage,2011,1.6 Comfortline 101cv,,Nafta,4,Manual,1.6,Sedán,140000,,,Hidráulica,Delantera,5,55 L,101,4230,1464,1656,2465 mm,8000
Ford Fiesta Kinetic Design 1.6 Design Sedan 120cv Trend,Bs.As. G.B.A. Sur,Ford,Fiesta Kinetic Design,2011,1.6 Design Sedan 120cv Trend,Gris,Nafta,4,Manual,1.6,Sedán,131586,,Sí,Eléctrica,Delantera,5,47 L,120,4410,1473,1800,2415 mm,8000
Renault Kwid 1.0 Sce 66cv Zen,Bs.As. G.B.A. Oeste,Renault,Kwid,2021,1.0 Sce 66cv Zen,,Nafta,5,Manual,1.0,Hatchback,6000,,,,Delantera,5,50 L,66,3680,1474,1752,2423 mm,14000
Peugeot 308 1.6 Allure Pack,Córdoba,Peugeot,308,2020,1.6 Allure Pack,Blanco,Nafta,5,Manual,1.6,Hatchback,47000,Sí,,Hidráulica,Delantera,5,60 L,115,4292,1518,1814,2608 mm,21500000
Toyota Yaris 1.5 107cv Xs Cvt,Bs.As. G.B.A. Norte,Toyota,Yaris,2024,1.5 107cv Xs Cvt,,Nafta,5,Automática,1.5,Hatchback,500,,,,Delantera,5,42 L,107,3945,1510,1695,2550 mm,23000
Renault Sandero Stepway 1.6 Confort 105cv,Bs.As. G.B.A. Oeste,Renault,Sandero Stepway,2011,1.6 Confort 105cv,,Nafta,5,Manual,1.6,Hatchback,164000,,,Hidráulica,Delantera,5,50 L,105,4091,1630,1751,2588 mm,9000000
Peugeot 207 1.4 Allure 75cv,Capital Federal,Peugeot,207,2012,1.4 Allure 75cv,,Nafta,3,Manual,1.4,Hatchback,110000,,Sí,Hidráulica,Delantera,5,50 L,75,3872,1446,1669,2443 mm,7700
Peugeot 308 1.6 Allure Hdi 115cv,Santiago del Estero,Peugeot,308,2016,1.6 Allure Hdi 115cv,,Diésel,5,Manual,1.6,Hatchback,162000,Sí,,Eléctrica,Delantera,5,60 L,115,4292,1518,1800,2608 mm,14900000
Ford Ecosport 1.5 Se 123cv 4x2,Córdoba,Ford,Ecosport,2018,1.5 Se 123cv 4x2,Blanco,Nafta,5,Manual,1.5,SUV,100000,,Sí,Asistida,4x2,5,52 L,123,4241,1693,1821,2608 mm,19900000
BMW Serie 2 3.0 240i M Package,Capital Federal,BMW,Serie 2,2021,3.0 240i M Package,Celeste,Nafta,2,Automática,,,12500,No,Sí,Asistida,Trasera,4,52 L,340,4432,1423,1756,2600 mm,72000
Renault Duster 1.6 Ph2 4x2 Dynamique,Bs.As. G.B.A. Sur,Renault,Duster,2019,1.6 Ph2 4x2 Dynamique,,Nafta,5,Manual,1.6,SUV,76000,,,,4x2,5,50 L,110,4329,1683,1822,2674 mm,15000
Peugeot 208 1.6 Style Tiptronic,Capital Federal,Peugeot,208,2023,1.6 Style Tiptronic,,Nafta,5,Automática,1.6,Hatchback,22000,,Sí,Hidráulica,Delantera,5,55 L,115,3975,1470,1740,2540 mm,18000
Peugeot 208 1.6 Style Mt,Neuquén,Peugeot,208,2023,1.6 Style Mt,Negro,Nafta,5,Manual,1.6,Hatchback,10500,,Sí,Asistida,Delantera,5,55 L,115,3975,1470,1740,2540 mm,24000000
Chevrolet Corsa 1.8 Gl Aa+da,Capital Federal,Chevrolet,Corsa,2010,,Plateado,Nafta,4,Manual,1.8,Sedán,88000,No,Sí,Hidráulica,Delantera,5,48 L,102,4170,1432,1735,2513 mm,8000000
Volkswagen Bora 2.0 Trendline 115cv,Capital Federal,Volkswagen,Bora,2012,2.0 Trendline 115cv,,Nafta,4,Manual,2.0,Sedán,79000,Sí,,Hidráulica,Delantera,5,55 L,116,4376,1446,1735,2518 mm,9000
Fiat Cronos 1.3 Precision Cvt,Córdoba,Fiat,Cronos,2024,1.3 Precision Cvt,Blanco,Nafta,4,Automática,1.3,Sedán,9500,,Sí,Eléctrica,Delantera,5,48 L,99,4364,1508,1724,2521 mm,25500000
Jeep Compass 2.4 Sport Automática,Córdoba,Jeep,Compass,2021,2.4 Sport Automática,Gris,Nafta,5,Automática,2.4,SUV,50843,,,,4x2,5,52 L,174,4394,1635,2033,2636 mm,30500000
Fiat Palio 1.4 Fire Top Aa+da+pl+ll,Bs.As. G.B.A. Sur,Fiat,Palio,2013,,Gris,Nafta,5,Manual,1.4,Hatchback,67000,,Sí,Mecánica,Delantera,5,48 L,82,3827,1444,1922,3000 mm,10700000
Peugeot 307 2.0 Xs Hdi,Capital Federal,Peugeot,307,2005,2.0 Xs Hdi,Azul,Diésel,5,Manual,2.0,Hatchback,200900,,Sí,Hidráulica,Delantera,5,60 L,110,4202,1510,1746,2608 mm,6000
Peugeot 207 1.4 Allure 75cv,Bs.As. G.B.A. Sur,Peugeot,207,2014,1.4 Allure 75cv,Azul,Nafta,5,Manual,1.4,Hatchback,91000,,Sí,Hidráulica,Delantera,5,50 L,75,3872,1446,1669,2443 mm,7400
Ford Ecosport 1.5 Titanium 123cv 4x2 Manual,Bs.As. G.B.A. Norte,Ford,Ecosport,2019,1.5 Titanium 123cv 4x2 Manual,Blanco,Nafta,5,Manual,1.5,SUV,87163,,Sí,Asistida,4x2,5,52 L,123,4241,1693,1821,2608 mm,20800000
Volkswagen Gol 1.6 Gld,Bs.As. G.B.A. Sur,Volkswagen,Gol,1996,1.6 Gld,,Diésel,3,Manual,1.6,Hatchback,100000,,,,Delantera,5,50 L,54,3807,1411,1647,2468 mm,1400000
Volkswagen Golf 2.0 Gti Tsi App Connect,Bs.As. G.B.A. Norte,Volkswagen,Golf,2019,2.0 Gti Tsi App Connect,,Nafta,5,Automática,2.0,Hatchback,94000,Sí,,Eléctrica,Delantera,5,50 L,230,4255,1452,1799,2631 mm,32500
Dodge Journey 2.4 Sxt (3 Filas) 170cv Atx,Buenos Aires Interior,Dodge,Journey,2012,,,Nafta,5,Automática,2.4,SUV,160000,Sí,Sí,Hidráulica,4x2,5,78 L,170,4887,1692,1873,2424 mm,11000
Ford Ka 1.5 S 5 p,Bs.As. G.B.A. Sur,Ford,Ka,2017,1.5 S 5 p,,Nafta,5,Manual,1.5,Hatchback,93700,,,Eléctrica,Delantera,5,51 L,105,3969,1464,1777,2686 mm,13500000
Volkswagen Scirocco 1.4 Tsi 160cv Dsg,Bs.As. G.B.A. Oeste,Volkswagen,Scirocco,2013,1.4 Tsi 160cv Dsg,,Nafta,2,Automática,1.4,Coupé,101000,Sí,,Asistida,Delantera,4,55 L,160,4255,1400,1820,2578 mm,20000
Volkswagen Voyage Conforline,Bs.As. G.B.A. Norte,Volkswagen,Voyage,2010,Conforline,Gris,Nafta,4,Manual,1.6,Sedán,148000,No,Sí,Hidráulica,Delantera,5,55 L,101,4230,1464,1656,2465 mm,9000
"Chevrolet Cruze 1.4T LTZ + AUTOMATICO SEDAN , ANTICIPO $",Bs.As. G.B.A. Oeste,Chevrolet,Cruze,2016,,Gris,Nafta,4,Automática,2.0,Sedán,14000,Sí,Sí,Hidráulica,Delantera,5,60 L,163,4597,1477,1640,2464 mm,20000000
Fiat Palio 1.4 Fire,Bs.As. G.B.A. Oeste,Fiat,Palio,2009,1.4 Fire,Verde,Nafta,5,Manual,1.4,Hatchback,145000,,No,Mecánica,Delantera,5,48 L,82,3827,1444,1871,3035 mm,7400000
