Título,Ubicación,Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Piloto automático,Aire acondicionado,Dirección,Control de tracción,Capacidad de personas,Capacidad del tanque,Potencia,Largo,Altura,Ancho,Distancia entre ejes,Precio
Ford Ranger 3.0 Cd 4X4 Xls At 250Cv,Bs.As. Costa Atlántica,Ford,Ranger,2023,3.0 Cd 4X4 Xls At 250Cv,Plateado,Diésel,4,Automática,3.0,Pick-Up,12000,,,,,,,250,,,,,50000000
Chevrolet Spin 1.8 Ltz 7as 105cv,Bs.As. G.B.A. Sur,Chevrolet,Spin,2013,1.8 Ltz 7as 105cv,Gris,Nafta,5,Manual,1.8,Monovolumen,138000,,Sí,Hidráulica,Delantera,7,53 L,105,4360,1664,1657,2465 mm,9400
Ford Fiesta Kinetic 1.6 Sedan Titanium 120cv,Bs.As. G.B.A. Sur,Ford,Fiesta Kinetic,2015,1.6 Sedan Titanium 120cv,,Nafta,4,Manual,1.6,Sedán,58000,,,Eléctrica,Delantera,5,47 L,120,4410,1473,1639,2472 mm,11500
Toyota Etios 1.5 Xls,Bs.As. G.B.A. Oeste,Toyota,Etios,2016,1.5 Xls,Blanco,Nafta,5,Manual,1.5,Hatchback,63000,Sí,,Eléctrica,Delantera,5,45 L,90,3893,1553,1695,2460 mm,13000
Ford Fiesta Kinetic Design 1.6 S 120cv,Bs.As. G.B.A. Norte,Ford,Fiesta Kinetic Design,2016,1.6 S 120cv,,Nafta,5,Manual,1.6,Hatchback,136000,,,Eléctrica,Delantera,5,51 L,120,3969,1464,1801,2895 mm,10200
Chevrolet Cruze 1.8 Lt At,Bs.As. G.B.A. Norte,Chevrolet,Cruze,2012,1.8 Lt At,,Nafta,5,Automática,1.8,Hatchback,214000,Sí,Sí,Hidráulica,Delantera,5,60 L,141,4597,1477,1855,2711 mm,8500000
Ford Ranger 2.3 Cd Xl Plus 4x2,Bs.As. G.B.A. Sur,Ford,Ranger,2008,2.3 Cd Xl Plus 4x2,Blanco,Nafta,4,Manual,2.3,Pick-Up,328000,,,Hidráulica,4x2,2,75 L,148,4811,1723,1780,2615 mm,9000
Toyota Etios ETIOS X 1.5 4P,Capital Federal,Toyota,Etios,2018,ETIOS X 1.5 4P,Blanco,Nafta,4,Manual,1.5,Sedán,170000,,,Hidráulica,Delantera,5,55 L,103,4265,1510,1695,2460 mm,13900000
BMW Serie 2 3.0 240i M Package,Capital Federal,BMW,Serie 2,2020,3.0 240i M Package,Blanco,Nafta,2,Automática,3.0,Coupé,20000,,Sí,Asistida,Trasera,4,52 L,340,4432,1423,1756,2600 mm,72900
Fiat 500 1.4 Sport 105cv,Bs.As. G.B.A. Oeste,Fiat,500,2013,1.4 Sport 105cv,,Nafta,3,Manual,1.4,Hatchback,99990,Sí,Sí,Asistida,Delantera,4,40 L,105,3546,1492,1855,2640 mm,10900
Chevrolet Cruze II 1.4 Sedan Ltz Plus At,Bs.As. G.B.A. Norte,Chevrolet,Cruze II,2016,1.4 Sedan Ltz Plus At,Gris,Nafta,4,Automática,1.4,Sedán,120000,Sí,Sí,Asistida,Delantera,5,60 L,153,4510,1477,1677,2467 mm,14500
Chevrolet Tracker 1.8 Ltz,Capital Federal,Chevrolet,Tracker,2018,1.8 Ltz,Plateado,Nafta,5,Manual,1.8,SUV,31000,,Sí,,4x2,5,53 L,141,4248,1674,1657,2465 mm,21000000
Nissan Kicks Advance Cvt,Buenos Aires Interior,Nissan,Kicks,2019,Advance Cvt,Plateado,Nafta,5,Automática,1.6,SUV,83000,,,Hidráulica,Delantera,5,41 L,120,4295,1590,1760,2610 mm,26000000
Mercedes-Benz Clase B 1.3 163cv Progressive,Bs.As. G.B.A. Oeste,,Clase B,2020,1.3 163cv Progressive,Plateado,Nafta,4,Automática,1.3,Sedán,70000,Sí,Sí,Asistida,Delantera,5,73 L,163,4686,1442,1777,2778 mm,29000
Chevrolet Corsa 1.4 Classic,Bs.As. G.B.A. Norte,Chevrolet,Corsa,2009,1.4 Classic,,Nafta,3,Manual,1.4,Hatchback,166000,,,,Delantera,5,54 L,94,3759,1420,1944,3095 mm,6500000
Ford Focus 2.0 Se,Capital Federal,Ford,Focus,2015,2.0 Se,Blanco,Nafta,5,,,,144000,,,,,,,,,,,,10500
Chevrolet Tracker 1.8 Ltz+,Bs.As. G.B.A. Oeste,Chevrolet,Tracker,2017,,Blanco,Nafta/GNC,5,Automática,1.8,SUV,71000,,Sí,Asistida,4x4,5,53 L,141,4248,1674,1657,2465 mm,16900
Volkswagen Vento 2.5 Luxury Tiptronic 170cv,Bs.As. G.B.A. Norte,Volkswagen,Vento,2011,2.5 Luxury Tiptronic 170cv,,Nafta,4,Automática,2.5,Sedán,169000,Sí,Sí,Eléctrica,Delantera,5,55 L,170,4554,1461,1778,2651 mm,10900
Honda Civic 2.0 Ex 2017,Capital Federal,Honda,Civic,2017,2.0 Ex 2017,,Nafta,3,Manual,2.0,Hatchback,141000,,,,Delantera,5,56 L,200,4637,1433,1778,2651 mm,17500
Chevrolet Cruze 1.4 Ltz At Sedan,Bs.As. G.B.A. Oeste,Chevrolet,Cruze,2022,1.4 Ltz At Sedan,Gris,Nafta,4,Automática,1.4,Sedán,29000,Sí,,Eléctrica,Delantera,5,52 L,153,4665,1484,2042,2700 mm,23900
