Título,Ubicación,Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Piloto automático,Aire acondicionado,Dirección,Control de tracción,Capacidad de personas,Capacidad del tanque,Potencia,Largo,Altura,Ancho,Distancia entre ejes,Precio
Chevrolet Prisma 1.4 Joy Ls,Capital Federal,Chevrolet,Prisma,2021,1.4 Joy Ls,Gris,Nafta,4,Manual,1.4,Sedán,41000,,Sí,Asistida,Delantera,5,54 L,98,4275,1484,1656,2465 mm,17500000
Volkswagen Tiguan Allspace 1.4 Tsi Trendline 150cv Dsg,Capital Federal,Volkswagen,Tiguan Allspace,2021,1.4 Tsi Trendline 150cv Dsg,,Nafta,5,Automática,1.4,SUV,31581,Sí,,Asistida,4x4,5,64 L,150,4427,1683,1809,2604 mm,32000
Citroën C4 Cactus 1.6 Vti 115 At6 Feel Pk,Bs.As. G.B.A. Oeste,,C4 Cactus,2020,1.6 Vti 115 At6 Feel Pk,,Nafta,5,Automática,1.6,SUV,73000,,,,Delantera,5,55 L,115,4170,1534,1979,2600 mm,16500
Volkswagen Golf 2.0 Vi Gti Tsi 211cv,Bs.As. G.B.A. Sur,Volkswagen,Golf,2013,2.0 Vi Gti Tsi 211cv,Rojo,Nafta,5,Manual,2.0,Hatchback,31700,Sí,,Eléctrica,Delantera,5,55 L,211,4213,1501,1735,2515 mm,29500
Peugeot 206 1.9 Xrd Premium 5 p,Capital Federal,Peugeot,206,2006,1.9 Xrd Premium 5 p,Plateado,Diésel,5,Manual,1.9,Hatchback,224000,,,Hidráulica,Delantera,5,50 L,70,3835,1430,1652,2442 mm,4200000
Peugeot 206 1.4 Generation 75cv,Bs.As. G.B.A. Sur,Peugeot,206,2011,1.4 Generation 75cv,,Nafta,5,Manual,1.4,Hatchback,89000,,,Mecánica,Delantera,5,50 L,75,3835,1426,1652,2442 mm,7500
Fiat Toro 2.0 TDI 4X4 ULTRA AT9 L22,Córdoba,Fiat,Toro,2022,2.0 TDI 4X4 ULTRA AT9 L22,Negro,Diésel,4,Automática,,Pick-Up,18300,,Sí,,4x4,5,60 L,,,,,,37100000
Peugeot 307 2.0 Hdi Xt Premium 110cv,Río Negro,Peugeot,307,2009,2.0 Hdi Xt Premium 110cv,Gris,Diésel,5,Manual,2.0,Hatchback,157000,,,Hidráulica,Delantera,5,60 L,110,4211,1509,1762,2608 mm,8500000
Volkswagen Voyage 1.6 Trenline 101cv,Bs.As. G.B.A. Oeste,Volkswagen,Voyage,2018,1.6 Trenline 101cv,,Nafta,4,Manual,1.6,Sedán,80000,,,,Delantera,5,55 L,101,4230,1464,1656,2467 mm,12000000
Jeep Renegade 1.8 Sport,Bs.As. G.B.A. Sur,Jeep,Renegade,2018,1.8 Sport,Blanco,Nafta,5,Manual,1.8,SUV,72000,Sí,,Hidráulica,4x2,5,60 L,217,4624,1670,1798,2570 mm,16500
Citroen C4 Sx 2009,Capital Federal,,C4,2010,Sx,Plateado,Nafta,5,,,,123000,,,,,,,,,,,,7500
Honda Civic 1.8 Exs Mt 140cv,Bs.As. G.B.A. Norte,Honda,Civic,2012,1.8 Exs Mt 140cv,,Nafta,4,Manual,1.8,Sedán,165000,Sí,,Hidráulica,Delantera,5,57 L,140,4525,1450,1781,2578 mm,12000
Peugeot 208 1.6 Allure Pack,Bs.As. G.B.A. Sur,Peugeot,208,2024,1.6 Allure Pack,Blanco,Nafta,5,Manual,1.6,Hatchback,111111,,Sí,Asistida,Delantera,5,47 L,115,4075,1453,1738,2538 mm,12000000
Fiat Cronos 1.3 Attractive Mt,Bs.As. Costa Atlántica,Fiat,Cronos,2023,1.3 Attractive Mt,,Nafta,4,Manual,1.3,Sedán,32000,,Sí,Eléctrica,Delantera,5,48 L,99,4364,1508,1724,2521 mm,19900000
Renault Clio 1.2 Mio Confort Plus Abs Abcp,Bs.As. G.B.A. Oeste,Renault,Clio,2014,1.2 Mio Confort Plus Abs Abcp,Blanco,Nafta,5,Manual,1.2,Hatchback,150000,,Sí,Hidráulica,Delantera,5,50 L,75,3813,1417,1639,2472 mm,7400
Renault Captur 2.0 Zen,Entre Ríos,Renault,Captur,2019,2.0 Zen,Blanco,Nafta,5,Manual,2.0,SUV,60000,,,,Delantera,5,45 L,143,4122,1556,1778,2670 mm,24000000
Volkswagen Amarok 3.0 V6 Extreme 258Cv,Bs.As. G.B.A. Sur,Volkswagen,Amarok,2020,3.0 V6 Extreme 258Cv,Plateado,Diésel,4,Automática,3.0,Pick-Up,78000,,,,4x4,5,80 L,258,5254,1834,1944,3095 mm,41860000
Fiat Cronos 1.3 Precision Cvt,Córdoba,Fiat,Cronos,2023,1.3 Precision Cvt,Gris,Nafta,4,Automática,1.3,Sedán,9300,No,Sí,Eléctrica,Delantera,5,48 L,99,4364,1508,1724,2521 mm,21600000
Chevrolet Onix 1.4 Ltz 98cv,Entre Ríos,Chevrolet,Onix,2017,1.4 Ltz 98cv,Blanco,Nafta,5,Manual,1.4,Hatchback,95000,No,Sí,Asistida,Delantera,5,54 L,98,3930,1484,1656,2465 mm,15900000
Ford Ranger 2.2 Cd Xl Tdci 150cv 4x2,Córdoba,Ford,Ranger,2017,2.2 Cd Xl Tdci 150cv 4x2,Rojo,Diésel,4,Manual,2.2,Pick-Up,108000,,,Eléctrica,4x2,5,80 L,150,5359,1800,1860,3220 mm,24400000
Peugeot 408 1.6 Feline Hdi 115cv,Bs.As. G.B.A. Oeste,Peugeot,408,2017,1.6 Feline Hdi 115cv,,Diésel,4,Manual,1.6,Sedán,92000,Sí,,Eléctrica,Delantera,5,60 L,115,4690,1505,1802,2710 mm,12300
Mini Cooper 1.6 Chili,Santa Fe,Mini,Cooper,2009,Chili,Rojo,Nafta,2,Manual,1.6,Sedán,62000,,Sí,Asistida,,,,,,,,,14000
Chevrolet Tracker 1.8 Ltz 140cv,Capital Federal,Chevrolet,Tracker,2018,1.8 Ltz 140cv,Blanco,Nafta,5,Automática,1.8,SUV,66000,Sí,Sí,,Integral,5,53 L,140,4248,1674,1657,2465 mm,22000000
Ford Fiesta Kinetic Design 1.6 Design 120cv Titanium,Córdoba,Ford,Fiesta Kinetic Design,2011,1.6 Design 120cv Titanium,Gris,Nafta,5,Manual,1.6,Hatchback,235000,Sí,,Eléctrica,Delantera,5,45 L,120,4066,1473,1808,2350 mm,12500000
Toyota Hilux 2.8 Cd Srx 177cv 4x2,Bs.As. G.B.A. Sur,Toyota,Hilux,2020,2.8 Cd Srx 177cv 4x2,,Diésel,4,Manual,2.8,Pick-Up,29000,Sí,,Hidráulica,4x2,5,80 L,177,5260,1850,1855,2860 mm,33890
Peugeot 408 2.0 Feline 143cv,Santiago del Estero,Peugeot,408,2015,2.0 Feline 143cv,,Nafta,4,Manual,2.0,Sedán,110000,Sí,,Asistida,Delantera,5,60 L,143,4690,1505,1815,2710 mm,13000000
Fiat Siena 1.4 Fire Aa Gnc,Capital Federal,Fiat,Siena,2007,1.4 Fire Aa Gnc,Negro,Nafta,4,Manual,1.4,Sedán,250000,,Sí,Hidráulica,Delantera,5,48 L,82,4135,1437,1634,2373 mm,4500
Fiat Toro 1.8 Freedom,Bs.As. G.B.A. Sur,Fiat,Toro,2021,1.8 Freedom,Gris,Nafta/GNC,4,Automática,1.8,Pick-Up,63000,,,,4x2,5,60 L,130,4915,1690,1669,2990 mm,29500000
Volkswagen Vento 2.5 Luxury 170cv,Bs.As. G.B.A. Sur,Volkswagen,Vento,2013,2.5 Luxury 170cv,,Nafta,4,Manual,2.5,Sedán,119000,Sí,Sí,Hidráulica,Delantera,5,55 L,170,4618,1453,1778,2651 mm,14900
Peugeot 207 1.6 Feline 106cv,Bs.As. G.B.A. Sur,Peugeot,207,2013,1.6 Feline 106cv,,Nafta,3,Manual,1.6,Hatchback,118000,,Sí,Hidráulica,Delantera,5,50 L,106,3872,1441,1669,2443 mm,12700000
Renault Kangoo 1.6 2 Confort 5as Aa Da Svt 1plc,Buenos Aires Interior,Renault,Kangoo,2012,1.6 2 Confort 5as Aa Da Svt 1plc,,Nafta,3,Manual,1.6,Furgón,195000,,Sí,Hidráulica,Delantera,2,52 L,95,4010,1860,1672,2600 mm,9500
Fiat Mobi 1.0 Way,Bs.As. Costa Atlántica,Fiat,Mobi,2023,1.0 Way,Plateado,Nafta,5,Manual,1.0,Hatchback,7269,,,,Delantera,5,47 L,70,3566,1502,1854,2874 mm,18700000
Volkswagen Amarok 2.0 Cd Tdi 4x4 Highline Pack At C34,Capital Federal,Volkswagen,Amarok,2014,2.0 Cd Tdi 4x4 Highline Pack At C34,,Diésel,4,Automática,2.0,Pick-Up,155000,Sí,,Hidráulica,4x4,5,80 L,180,5254,1834,1944,3095 mm,18500
Toyota Corolla Cross 2.0 Seg Cvt,Bs.As. G.B.A. Norte,Toyota,Corolla Cross,2022,2.0 Seg Cvt,Gris oscuro,Nafta,5,Automática,2,SUV,13700,No,Sí,electronic,4x2,5,47 L,170,4460,1620,1825,2465 mm,43800000
Toyota Etios 1.5 XLS PACK 4P AT,La Pampa,Toyota,Etios,2023,1.5 XLS PACK 4P AT,,Nafta,4,Automática,1.5,Hatchback,500,,,Eléctrica,Delantera,5,45 L,103,4265,1510,1695,2460 mm,24500000
Renault Logan II 1.6 16V ZEN,Bs.As. G.B.A. Norte,Renault,Logan,2024,II 1.6 16V ZEN,Gris,Nafta,4,Manual,,Sedán,1000,,Sí,Hidráulica,Delantera,5,50 L,,,,,,21000000
Volkswagen Taos 1.4 250 Tsi Highline,Bs.As. G.B.A. Norte,Volkswagen,Taos,2023,1.4 250 Tsi Highline,,Nafta,5,Automática,1.4,SUV,39000,Sí,Sí,Eléctrica,4x2,5,50 L,150,4468,1624,1841,2651 mm,45000000
BMW Serie 2 3.0 240i M Package Lci,Bs.As. G.B.A. Norte,BMW,Serie 2,2018,3.0 240i M Package Lci,Blanco,Nafta,2,Automática secuencial,3.0,Coupé,98000,Sí,Sí,Asistida,Trasera,4,52 L,340,4432,1423,1756,2600 mm,63000
Renault Clio CLIO MIO CONFORT 1.2,Capital Federal,Renault,Clio,2015,CLIO MIO CONFORT 1.2,Gris oscuro,Nafta,4,Manual,1.2,Sedán,94000,,,Hidráulica,Delantera,5,55 L,75,3813,1417,1639,2472 mm,11500000
Peugeot Partner 1.9 Furgon Confort Plc,Capital Federal,Peugeot,Partner,2007,1.9 Furgon Confort Plc,,Diésel,3,Manual,1.9,Furgón,270000,,,Hidráulica,Delantera,2,60 L,71,4018,1801,1720,2728 mm,5000
Ford Ka 1.6 Pulse Top 95cv,Bs.As. G.B.A. Sur,Ford,Ka,2013,1.6 Pulse Top 95cv,,Nafta,3,Manual,1.6,Hatchback,86400,,,Hidráulica,Delantera,5,45 L,95,3836,1420,1777,2686 mm,9500
