Título,Ubicación,Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Piloto automático,Aire acondicionado,Dirección,Control de tracción,Capacidad de personas,Capacidad del tanque,Potencia,Largo,Altura,Ancho,Distancia entre ejes,Precio
Toyota Hilux SRX 4X4 AUT,Buenos Aires Interior,Toyota,Hilux,2023,SRX 4X4 AUT,Gris,Diésel,4,Automática secuencial,2.8,Off-Road,13000,Sí,Sí,Asistida,4x4,5,80 L,177,5260,1850,1855,2860 mm,42300
Volkswagen Suran 1.6 Comfortline 101cv,Bs.As. G.B.A. Sur,Volkswagen,Suran,2013,1.6 Comfortline 101cv,Plateado,Nafta,5,Manual,1.6,Monovolumen,125000,,,Hidráulica,Delantera,5,50 L,101,4178,1547,1660,2467 mm,8900
Mitsubishi L200 3.2 Cab Doble 4x4 MT,Buenos Aires Interior,Mitsubishi,L200,2011,3.2 Cab Doble 4x4 MT,,Diésel,4,Manual,3.2,Pick-Up,209000,,Sí,Hidráulica,4x4,5,75 L,165,5070,1780,1800,3000 mm,15800
Volkswagen Amarok 3.0 V6 Extreme Black Style,Bs.As. G.B.A. Norte,Volkswagen,Amarok,2022,3.0 V6 Extreme Black Style,Gris,Diésel,4,Automática,3.0,Pick-Up,1111,,,,4x4,5,80 L,224,5254,1834,1944,3095 mm,64945000
Mini Cooper S 2.0 F55 Chili 192cv,Buenos Aires Interior,Mini,Cooper S,2018,2.0 F55 Chili 192cv,Gris,Nafta,5,Manual,2.0,Hatchback,36000,Sí,,Asistida,Delantera,5,47 L,192,,,,2467 mm,32000
Toyota Hilux Pick-up 2.4 Cd Dx 150cv 4x4,Río Negro,Toyota,Hilux Pick-Up,2023,2.4 Cd Dx 150cv 4x4,Rojo,Diésel,4,Manual,2.4,Pick-Up,3000,,,Hidráulica,4x4,5,80 L,150,5260,1850,1855,2860 mm,36000
Peugeot Partner 1.6 Hdi Furgon Confort,Córdoba,Peugeot,Partner,2017,1.6 Hdi Furgon Confort,Gris,Diésel,3,Manual,1.6,Furgón,110000,,,Hidráulica,Delantera,2,55 L,90,4137,1800,1724,2693 mm,13500000
Chevrolet Tracker 1.2 Turbo At,Capital Federal,Chevrolet,Tracker,2024,1.2 Turbo At,Gris,Nafta,5,Automática,1.2,SUV,1000,Sí,Sí,Eléctrica,4x2,5,44 L,132,4270,1626,1791,2570 mm,29000000
Chevrolet Onix 1.0 Turbo Premier I Mt,Bs.As. G.B.A. Sur,Chevrolet,Onix,2020,1.0 Turbo Premier I Mt,Blanco,Nafta,5,Manual,1.0,Hatchback,20200,No,Sí,Asistida,Delantera,5,54 L,116,3930,1484,1656,2465 mm,19999900
Volkswagen Suran 1.6 Limited Edition,Bs.As. G.B.A. Oeste,Volkswagen,Suran,2014,1.6 Limited Edition,Plateado,Nafta,5,Manual,1.6,Monovolumen,112000,,Sí,Hidráulica,Delantera,5,50 L,101,4180,1576,1660,2467 mm,12000000
Chevrolet Tracker 1.8 Ltz+ 140cv,Capital Federal,Chevrolet,Tracker,2018,,Plateado,Nafta,5,Automática,1.8,SUV,82000,Sí,Sí,Hidráulica,Integral,5,53 L,140,4248,1674,1657,2465 mm,16300
Volkswagen Tiguan Allspace 1.4 Tsi Trendline 150cv Dsg,Capital Federal,Volkswagen,Tiguan Allspace,2019,1.4 Tsi Trendline 150cv Dsg,Gris,Nafta,5,Automática,1.4,SUV,120000,Sí,,Asistida,4x4,5,64 L,150,4427,1683,1809,2604 mm,23000
Volkswagen Polo 1.6 Msi Comfortline At,Capital Federal,Volkswagen,Polo,2017,1.6 Msi Comfortline At,Gris,Nafta,5,Automática,1.6,Hatchback,94363,,,Hidráulica,Delantera,5,50 L,110,4384,1465,1699,2552 mm,14000000
Fiat Cronos 1.3 Gse Drive,Bs.As. G.B.A. Norte,Fiat,Cronos,2023,1.3 Gse Drive,Gris,Nafta,4,Manual,1.3,Sedán,1300,,Sí,Eléctrica,Delantera,5,48 L,99,4364,1508,1724,2521 mm,19900
Ford Ranger 2.0 Cd 4X2 Xls 170Cv,Bs.As. G.B.A. Norte,Ford,Ranger,2023,2.0 Cd 4X2 Xls 170Cv,Gris,Diésel,5,Manual,2.0,Pick-Up,1230,Sí,,,,,,170,,,,,32000
Audi A3 Sportback 1.8 T Fsi Mt 180cv,Santa Fe,Audi,A3 Sportback,2014,1.8 T Fsi Mt 180cv,Gris,Nafta,5,Manual,1.8,Hatchback,158000,No,Sí,Asistida,Delantera,5,50 L,180,4237,1421,1880,2807 mm,16500
Mercedes-Benz Clase E 2.2 E220,Bs.As. G.B.A. Oeste,,Clase E,1994,2.2 E220,,Nafta,4,Manual,2.2,Sedán,220000,,Sí,Hidráulica,Delantera,4,80 L,150,4892,1466,1852,2939 mm,8000
Ford Focus II 1.6 Trend Sigma,Bs.As. G.B.A. Norte,Ford,Focus II,2011,1.6 Trend Sigma,,Nafta,5,Manual,1.6,Hatchback,175000,,,Hidráulica,Delantera,5,55 L,110,4337,1500,1855,2690 mm,7000
Volkswagen Polo 1.6 Msi Highline At,Capital Federal,Volkswagen,Polo,2022,1.6 Msi Highline At,Gris,Nafta,5,Automática,1.6,Hatchback,50000,,,Hidráulica,Delantera,5,50 L,110,4384,1465,1699,2552 mm,19500
Kia Sportage 2.0 Ex At 154cv 4x2,Neuquén,Kia,Sportage,2018,2.0 Ex At 154cv 4x2,,Nafta,5,Automática,2.0,SUV,99000,Sí,,Eléctrica,4x2,5,62 L,154,4480,1655,1855,2670 mm,31000000
Chevrolet Onix 1.4 JOY LS  PLUS MT,Bs.As. G.B.A. Norte,Chevrolet,Onix,2019,1.4 JOY LS  PLUS MT,Negro,Nafta,4,Manual,1,Hatchback,26000,No,No,Asistida,4x2,5,54 L,98,3930,1484,1656,2465 mm,14960000
Volkswagen Saveiro 1.6 Gp Ce 101cv Safety + Pack High,Bs.As. G.B.A. Sur,Volkswagen,Saveiro,2018,,Azul,Nafta,2,Manual,1.6,Pick-Up,37500,,,Hidráulica,Delantera,2,55 L,101,4493,1497,1728,2753 mm,26000000
Jeep Renegade TRAILHAWK,Bs.As. G.B.A. Sur,Jeep,Renegade,2024,TRAILHAWK,Negro,Nafta,5,Automática,,SUV,1000,No,,Asistida,4x4,5,60 L,170,4624,1670,2359,2570 mm,48900000
