Título,Ubicación,Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Piloto automático,Aire acondicionado,Dirección,Control de tracción,Capacidad de personas,Capacidad del tanque,Potencia,Largo,Altura,Ancho,Distancia entre ejes,Precio
Volkswagen Polo 1.6 Msi Trendline At,Capital Federal,Volkswagen,Polo,2018,1.6 Msi Trendline At,Azul,Nafta,5,Automática,1.6,Hatchback,79300,No,Sí,Hidráulica,Delantera,5,50 L,110,4384,1465,1699,2552 mm,14100
Volkswagen Voyage 1.6 101cv,Capital Federal,Volkswagen,Voyage,2013,1.6 101cv,Plateado,Nafta,5,Manual,1.6,Sedán,239000,No,Sí,,Delantera,5,55 L,101,4230,1464,1656,2465 mm,8500000
BMW X6 3.0 Xdrive 35i Pure Extravagance,Bs.As. G.B.A. Norte,BMW,X6,2017,3.0 Xdrive 35i Pure Extravagance,,Nafta,5,Automática,3.0,SUV,52000,Sí,No,Asistida,4x4,4,85 L,306,4877,1669,1838,2690 mm,83000
Toyota Corolla Cross 2.0 Xli Cvt,Bs.As. G.B.A. Sur,Toyota,Corolla Cross,2024,2.0 Xli Cvt,Plateado,Nafta,5,Automática,2.0,SUV,1500,Sí,,Eléctrica,4x2,5,47 L,170,4460,1620,1825,2465 mm,32000
Honda Civic 1.8 Exs At 140cv,Buenos Aires Interior,Honda,Civic,2013,1.8 Exs At 140cv,Gris,Nafta,4,Automática,1.8,Sedán,124000,Sí,,Hidráulica,Delantera,5,57 L,140,4525,1450,1781,2578 mm,12500
Renault Kangoo Rn 1.6,Bs.As. G.B.A. Sur,Renault,Kangoo,2000,Rn da aa pack abcp,Verde,Nafta/GNC,4,Manual,1.6,,163000,,Sí,Hidráulica,,,,,,,,,7900000
Volkswagen Bora 2.0 Trendline 115cv Tiptronic,Capital Federal,Volkswagen,Bora,2012,2.0 Trendline 115cv Tiptronic,,Nafta,4,Automática,2.0,Sedán,187000,Sí,,Hidráulica,Delantera,5,55 L,116,4376,1446,1735,2518 mm,8500
Audi A4 2.0 I Manual,Córdoba,Audi,A4,2008,2.0 I Manual,Azul,Diésel,4,Manual,2.0,Sedán,198000,Sí,Sí,Asistida,Delantera,5,65 L,143,4703,1427,1765,2510 mm,10500000
Renault Kangoo 1.6 Ph3 Sportway Lc,Bs.As. G.B.A. Oeste,Renault,Kangoo,2017,1.6 Ph3 Sportway Lc,Gris,Nafta/GNC,4,Manual,1.6,Monovolumen,110000,No,Sí,Hidráulica,Delantera,5,52 L,95,4010,1860,1670,2600 mm,16300000
Chevrolet Meriva 1.8 Gl Plus,Bs.As. G.B.A. Sur,Chevrolet,Meriva,2004,1.8 Gl Plus,Plateado,Nafta,5,Manual,1.8,Monovolumen,175000,,Sí,Asistida,Delantera,5,56 L,102,4042,1624,1645,2468 mm,7300000
Citroën C4 Cactus 1.6 Vti 115 At6 Shine Bi Tono,Bs.As. G.B.A. Sur,,C4 Cactus,2021,1.6 Vti 115 At6 Shine Bi Tono,Gris,Nafta,5,Automática,1.6,SUV,101000,,,,Delantera,5,55 L,115,4170,1534,1979,2600 mm,21900000
Toyota RAV4 2.0 Vx,Bs.As. G.B.A. Sur,Toyota,RAV4,2018,2.0 Vx,Gris,Nafta,5,Automática,2.0,SUV,50000,Sí,,Eléctrica,4x2,5,60 L,146,4570,1715,1845,2660 mm,31000
"Mercedes Benz E 400 4matic 2017, Impecable!",Bs.As. G.B.A. Norte,,Clase E,2017,3.0 E400 Amg-line 333cv,Gris oscuro,Nafta,5,Automática,3,Sedán,112700,No,Sí,hydraulic,Delantera,4,,,,,,,53000
