Título,Ubicación,Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Piloto automático,Aire acondicionado,Dirección,Control de tracción,Capacidad de personas,Capacidad del tanque,Potencia,Largo,Altura,Ancho,Distancia entre ejes,Precio
Ford Ranger 3.2 Cd Xls Tdci 200cv Manual 4x4,Bs.As. G.B.A. Oeste,Ford,Ranger,2017,3.2 Cd Xls Tdci 200cv Manual 4x4,Blanco,Diésel,4,Manual,3.2,Pick-Up,98900,Sí,Sí,Eléctrica,4x4,5,80 L,200,5359,1815,1730,2670 mm,24000
Chevrolet Prisma 1.4 Joy Ls + 98cv,Buenos Aires Interior,Chevrolet,Prisma,2017,,Blanco,Nafta,4,Manual,1.4,Sedán,152000,,Sí,Asistida,Delantera,5,54 L,98,4275,1484,1656,2465 mm,13000000
Peugeot 307 2.0 Xs Hdi,Buenos Aires Interior,Peugeot,307,2005,2.0 Xs Hdi,Azul,Diésel,5,Manual,2.0,Hatchback,250000,No,Sí,Hidráulica,Delantera,5,60 L,110,4202,1510,1746,2608 mm,7000000
Ford Ranger 2.5 Cd Ivct Xlt 166cv,Bs.As. G.B.A. Oeste,Ford,Ranger,2018,2.5 Cd Ivct Xlt 166cv,,Nafta,4,Manual,2.5,Pick-Up,140000,,,Eléctrica,4x2,5,80 L,166,5359,1815,1768,2578 mm,23000
Peugeot 208 1.6 Feline,Bs.As. G.B.A. Norte,Peugeot,208,2013,1.6 Feline,,Nafta,5,Manual,1.6,Hatchback,102000,,Sí,Hidráulica,Delantera,5,55 L,115,3872,1470,1702,2541 mm,9300
Volkswagen Taos 1.4 250 Tsi Comfortline,Bs.As. G.B.A. Norte,Volkswagen,Taos,2024,1.4 250 Tsi Comfortline,Negro,Nafta,5,Automática,1.4,SUV,2500,Sí,Sí,Eléctrica,4x2,5,50 L,150,4468,1624,1841,2681 mm,38800000
Chevrolet Tracker 1.8 Ltz+,Bs.As. G.B.A. Sur,Chevrolet,Tracker,2017,,,Nafta,5,Automática,1.8,SUV,100000,,Sí,Asistida,4x4,5,53 L,141,4248,1674,1657,2465 mm,15500
Peugeot 308 1.6 Allure Nav 115cv,Bs.As. G.B.A. Norte,Peugeot,308,2015,1.6 Allure Nav 115cv,Gris,Nafta,5,Manual,1.6,Hatchback,133000,Sí,,Hidráulica,Delantera,5,60 L,115,4276,1519,1815,2608 mm,10000
Fiat Siena 1.4 Fire Da,Buenos Aires Interior,Fiat,Siena,2013,1.4 Fire Da,,Nafta,4,Manual,1.4,Sedán,155000,,No,Hidráulica,Delantera,5,48 L,82,4135,1453,1850,3150 mm,9000000
Jeep Renegade 1.8 Longitude At6,Capital Federal,Jeep,Renegade,2021,1.8 Longitude At6,Negro,Nafta,5,Automática,1.8,SUV,53300,Sí,,Hidráulica,4x2,5,60 L,130,4624,1670,1798,2570 mm,26900000
Toyota Yaris 1.5 107cv Xls 5 p,Córdoba,Toyota,Yaris,2019,1.5 107cv Xls 5 p,Gris,Nafta,5,Manual,1.5,Monovolumen,102000,No,Sí,electronic,Delantera,5,42 L,107,3945,1510,1695,2550 mm,19900000
Peugeot 207 1.4 Allure 75cv,Bs.As. G.B.A. Norte,Peugeot,207,2016,1.4 Allure 75cv,Gris,Nafta/GNC,5,Manual,1.4,Hatchback,110000,,Sí,Hidráulica,Delantera,5,50 L,75,3872,1446,1720,2540 mm,6100000
Toyota Etios 1.5 Sedan Xs,Capital Federal,Toyota,Etios,2017,1.5 Sedan Xs,Azul,Nafta,4,Manual,1.5,Sedán,118000,,,Eléctrica,Delantera,5,45 L,103,4265,1510,1695,2460 mm,12500
Volkswagen Crossfox 1.6 Comfortline,Buenos Aires Interior,Volkswagen,Crossfox,2012,1.6 Comfortline,,Nafta,5,Manual,1.6,Hatchback,130000,,,Hidráulica,Delantera,4,50 L,101,4034,1631,1677,2465 mm,10500000
Volkswagen Gol Trend 1.6 Highline 101cv,Córdoba,Volkswagen,Gol Trend,2017,1.6 Highline 101cv,,Nafta,5,Manual,1.6,Hatchback,74000,,,Hidráulica,Delantera,5,55 L,101,3899,1464,1656,2466 mm,16990000
Toyota SW4 SRX 4X4,Córdoba,Toyota,SW4,2022,SRX 4X4,Blanco,Diésel,5,Automática,2.8,SUV,90000,,,Hidráulica,4x4,7,80 L,177,4705,1850,1840,2750 mm,59500000
Volkswagen Voyage 1.6 Comfortline 101cv,Bs.As. Costa Atlántica,Volkswagen,Voyage,2013,1.6 Comfortline 101cv,Blanco,Nafta,4,Manual,1.6,Sedán,51300,,,Hidráulica,Delantera,5,55 L,101,4230,1464,1656,2465 mm,11500000
Citroën Xsara Picasso 2.0 Exclusive,Bs.As. G.B.A. Norte,,Xsara Picasso,2006,2.0 Exclusive,Plateado,Nafta,5,Manual,2.0,Monovolumen,210000,No,Sí,Hidráulica,Delantera,5,55 L,138,4276,1660,1877,2909 mm,7500000
Volkswagen Voyage 1.6 Trenline 101cv,Bs.As. G.B.A. Oeste,Volkswagen,Voyage,2018,1.6 Trenline 101cv,,Nafta,4,Manual,1.6,Sedán,135500,,,,Delantera,5,55 L,101,4230,1464,1656,2467 mm,8500
Volkswagen Up! 1.0 Take,Capital Federal,Volkswagen,,2017,1.0 Take,,Nafta,5,Manual,1.0,Hatchback,47000,,,,Delantera,5,50 L,75,3605,1500,1645,2421 mm,10500
