Título,Ubicación,Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Piloto automático,Aire acondicionado,Dirección,Control de tracción,Capacidad de personas,Capacidad del tanque,Potencia,Largo,Altura,Ancho,Distancia entre ejes,Precio
Ford Focus III 1.6 Sedan S,Córdoba,Ford,Focus III,2016,1.6 Sedan S,,Nafta,4,Manual,1.6,Sedán,112000,,,Eléctrica,Delantera,5,55 L,125,4534,1484,1639,2630 mm,12000
Renault Logan 1.6 Authentique 85cv,Bs.As. G.B.A. Sur,Renault,Logan,2018,1.6 Authentique 85cv,Gris,Nafta,4,Manual,1.6,Sedán,82000,,,Hidráulica,Delantera,5,50 L,85,4350,1529,1733,2635 mm,7000000
Renault Kangoo 1.6 Furgon Ph3 Confort 1plc,Capital Federal,Renault,Kangoo,2018,1.6 Furgon Ph3 Confort 1plc,Azul,Nafta,3,Manual,1.6,Furgón,90000,No,Sí,Hidráulica,Delantera,2,52 L,95,4010,1860,1672,2600 mm,9900
Hyundai Santa Fe 2.4 Gls 7as 6mt 2wd,Bs.As. G.B.A. Sur,Hyundai,Santa Fe,2013,2.4 Gls 7as 6mt 2wd,Blanco,Nafta,5,Manual,2.4,SUV,165000,Sí,Sí,Hidráulica,4x2,5,75 L,175,4675,1795,1890,2700 mm,14500
Mini Cooper 1.5 F55 Pepper Wired 136cv,Bs.As. G.B.A. Norte,Mini,Cooper,2018,1.5 F55 Pepper Wired 136cv,Azul,Nafta,5,Manual,1.5,Hatchback,39000,Sí,,Asistida,Delantera,5,40 L,136,3821,1414,1727,2462 mm,27500
Fiat Punto 1.6 Essence,Capital Federal,Fiat,Punto,2014,1.6 Essence,Gris,Nafta,5,Manual,1.6,Hatchback,127000,No,Sí,Hidráulica,Delantera,5,60 L,115,4065,1493,1683,2467 mm,11500000
Fiat Toro 1.8 Freedom 4x2 At,Bs.As. G.B.A. Oeste,Fiat,Toro,2019,1.8 Freedom 4x2 At,Negro,Nafta,4,Automática,1.8,Pick-Up,56303,,,Hidráulica,4x2,5,60 L,170,4915,1690,1669,2443 mm,18800
Fiat Palio 1.4 Attractive 85cv,Bs.As. G.B.A. Norte,Fiat,Palio,2013,1.4 Attractive 85cv,Blanco,Nafta,5,Manual,1.4,Hatchback,146000,,Sí,Hidráulica,Delantera,5,48 L,85,3875,1504,1922,4025 mm,10000000
Volkswagen Fox 1.6 Comfortline 5 p,Buenos Aires Interior,Volkswagen,Fox,2009,1.6 Comfortline 5 p,Blanco,Nafta,5,Manual,1.6,Hatchback,190000,,Sí,Hidráulica,Delantera,5,50 L,,3804,1544,1640,2465 mm,8200000
Renault Duster 1.6 4x2 Confort Plus Abs 110cv,Capital Federal,Renault,Duster,2013,1.6 4x2 Confort Plus Abs 110cv,,Nafta,5,Manual,1.6,SUV,120000,,,Hidráulica,4x2,5,50 L,110,4315,1695,1822,2673 mm,12300000
Toyota Corolla 2.0 Gr-Sport Cvt,Santiago del Estero,Toyota,Corolla,2024,2.0 Gr-Sport Cvt,Rojo,Nafta,4,Automática,2.0,Sedán,1000,,,,Delantera,5,57 L,171,4630,1435,1780,2700 mm,39500000
Fiat Punto 1.4 Attractive C/radio Integrada,Bs.As. G.B.A. Sur,Fiat,Punto,2013,,Rojo,Nafta,5,Manual,1.4,Hatchback,86600,,Sí,Hidráulica,Delantera,5,60 L,87,4065,1499,1789,2595 mm,12200000
Chevrolet S10 2.8 Lt Cd Tdci 200cv 4x2,Mendoza,Chevrolet,S10,2018,2.8 Lt Cd Tdci 200cv 4x2,,Diésel,4,Manual,2.8,Pick-Up,3995,Sí,Sí,Asistida,4x2,5,76 L,200,5367,1889,1820,2712 mm,30000000
Audi Q5 2.0 Tfsi Stronic 252cv,Bs.As. G.B.A. Sur,Audi,Q5,2018,2.0 Tfsi Stronic 252cv,Gris,Nafta,5,Automática,2.0,SUV,60000,,Sí,Eléctrica,4x4,5,75 L,252,4629,1653,1830,2728 mm,45000
DS DS3 1.2 Puretech 110 At6 So Chic,Capital Federal,DS,DS3,2018,1.2 Puretech 110 At6 So Chic,Gris,Nafta,3,Automática,1.2,Hatchback,70000,,,,Delantera,5,50 L,110,3968,1458,1715,2464 mm,17900
Toyota Etios 1.5 Xls,Capital Federal,Toyota,Etios,2022,1.5 Xls,Blanco,Nafta,5,Manual,1.5,Hatchback,29500,No,Sí,Eléctrica,Delantera,5,45 L,103,4265,1510,1695,2460 mm,21000000
Ford Ka 1.0 Fly 63cv,Bs.As. Costa Atlántica,Ford,Ka,2012,1.0 Fly 63cv,,Nafta,3,Manual,1.0,Hatchback,116000,,,,Delantera,5,45 L,63,3836,1420,2070,4332 mm,6500
Volkswagen Amarok 2.0 Cd Tdi 180cv 4x2 Highline Pack At,Bs.As. G.B.A. Norte,Volkswagen,Amarok,2016,2.0 Cd Tdi 180cv 4x2 Highline Pack At,,Diésel,4,Automática,2.0,Pick-Up,199999,Sí,,Hidráulica,4x2,5,80 L,180,5254,1834,1944,3095 mm,21999
Renault Sandero Stepway 1.6 Privilege 105cv,Bs.As. G.B.A. Oeste,Renault,Sandero Stepway,2018,1.6 Privilege 105cv,Blanco,Nafta,5,Manual,1.6,Hatchback,52000,Sí,,Hidráulica,Delantera,5,50 L,105,4066,1559,1761,2590 mm,12000
Nissan Kicks 1.6 Exclusive 120cv,Buenos Aires Interior,Nissan,Kicks,2018,1.6 Exclusive 120cv,Gris,Nafta,5,Manual,1.6,Hatchback,88572,,,,Delantera,5,41 L,120,4295,1590,1760,2610 mm,17500
Chevrolet Classic 1.4 Ls Abs Airbag,Bs.As. G.B.A. Sur,Chevrolet,Classic,2015,1.4 Ls Abs Airbag,Blanco,Nafta,4,Manual,1.4,Sedán,178000,,Sí,Hidráulica,Delantera,5,54 L,92,4152,1440,1954,3095 mm,8500000
Fiat Fiorino 1.4 Fire Evo 87cv,Bs.As. G.B.A. Norte,Fiat,Fiorino,2016,1.4 Fire Evo 87cv,,Nafta,3,Manual,1.4,Furgón,132000,,Sí,Hidráulica,Delantera,2,64 L,87,4184,1873,1780,2699 mm,11500
Peugeot 408 2.0 Allure Plus 143cv,Córdoba,Peugeot,408,2014,2.0 Allure Plus 143cv,,Nafta,4,Manual,2.0,Sedán,205000,Sí,,Asistida,Delantera,5,60 L,143,4690,1505,1815,2710 mm,11000000
Toyota Hilux 2.8 Cd Srx 177cv 4x4 At,Buenos Aires Interior,Toyota,Hilux,2019,2.8 Cd Srx 177cv 4x4 At,Gris,Diésel,4,Automática,2.8,Pick-Up,139500,Sí,,Hidráulica,4x4,5,80 L,177,5260,1850,1855,2860 mm,37000000
Renault Megane Megane 1 F2,Capital Federal,Renault,Megane,2003,Megane 1 f2,Rojo,Diésel,5,,,,250000,,,,,,,,,,,,3800
