Título,Ubicación,Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Piloto automático,Aire acondicionado,Dirección,Control de tracción,Capacidad de personas,Capacidad del tanque,Potencia,Largo,Altura,Ancho,Distancia entre ejes,Precio
Fiat Fiorino 1.4 Fire Evo 87cv,Bs.As. G.B.A. Sur,Fiat,Fiorino,2019,1.4 Fire Evo 87cv,Blanco,Nafta,3,Manual,1.4,Furgón,89000,,Sí,Hidráulica,Delantera,2,64 L,87,4184,1873,1780,2699 mm,11700
Volkswagen Voyage 1.6 Trenline 101cv,Capital Federal,Volkswagen,Voyage,2017,1.6 Trenline 101cv,Gris,Nafta,4,Manual,1.6,Sedán,60910,,,,Delantera,5,55 L,101,4230,1464,1656,2467 mm,13200000
Volkswagen Gol Trend 1.6 Pack I 101cv 3p,Bs.As. G.B.A. Norte,Volkswagen,Gol Trend,2015,1.6 Pack I 101cv 3p,Gris,Nafta,3,Manual,1.6,Hatchback,93000,,Sí,,Delantera,5,55 L,101,3899,1464,1656,2466 mm,10500000
Renault Duster 1.6 4x2 Confort Plus 110cv,Capital Federal,Renault,Duster,2013,1.6 4x2 Confort Plus 110cv,Gris,Nafta,5,Manual,1.6,SUV,116000,,Sí,Hidráulica,4x2,5,50 L,110,4315,1695,1822,2673 mm,12900000
Ford Ecosport 1.6 Freestyle 110cv 4x2,Bs.As. G.B.A. Sur,Ford,Ecosport,2015,1.6 Freestyle 110cv 4x2,Blanco,Nafta,5,Manual,1.6,SUV,94000,Sí,Sí,Eléctrica,4x2,5,52 L,110,4241,1693,1762,2612 mm,14800000
Peugeot 207 1.6 Sedan Xt Premium,Bs.As. G.B.A. Sur,Peugeot,207,2009,1.6 Sedan Xt Premium,Blanco,Nafta,4,Manual,1.6,Sedán,150000,,Sí,Hidráulica,Delantera,5,50 L,110,4235,1441,1669,2443 mm,8600000
Ford Mondeo 2.0 Ecvt Vignale Hibrido,Capital Federal,Ford,Mondeo,2020,2.0 Ecvt Vignale Hibrido,Gris,Híbrido/Nafta,4,Automática,2.0,Sedán,30000,Sí,,Eléctrica,Delantera,5,62 L,240,4869,1476,1698,2580 mm,28500
Audi Q5 2.0 Tfsi 211cv Stronic Quattro,Bs.As. G.B.A. Norte,Audi,Q5,2013,2.0 Tfsi 211cv Stronic Quattro,,Nafta,5,Automática,2.0,SUV,187000,Sí,Sí,Asistida,Integral,5,75 L,211,4629,1653,1860,2815 mm,21500
Chevrolet Celta 1.4 Lt Aa+dir,Bs.As. G.B.A. Sur,Chevrolet,Celta,2013,,,Nafta,5,Manual,1.4,Hatchback,176000,,Sí,Hidráulica,Delantera,5,54 L,92,3799,1408,1944,3095 mm,6800
Citroën C3 Aircross 1.6 Vti 115 Feel At6,Bs.As. G.B.A. Sur,,C3 Aircross,2020,1.6 Vti 115 Feel At6,Rojo,Nafta,5,Automática,1.6,Hatchback,94000,,Sí,,Delantera,5,55 L,115,4097,1741,1766,2542 mm,16500000
Honda Civic 1.5 Lx At,Capital Federal,Honda,Civic,1994,1.5 Lx At,Gris,Nafta,4,Automática,1.5,Sedán,100000,,Sí,,Delantera,5,45 L,102,4450,1410,1705,2620 mm,6900
Peugeot 308 1.6 FELINE THP TIPTRONIC,Bs.As. G.B.A. Norte,Peugeot,308,2018,1.6 FELINE THP TIPTRONIC,Blanco,Nafta,4,Automático,1,Hatchback,50062,No,No,Asistida,4x2,5,60 L,165,4292,1518,1814,2608 mm,19180000
Peugeot 308 1.6 Active,Bs.As. G.B.A. Oeste,Peugeot,308,2013,1.6 Active,Blanco,Nafta,5,Manual,1.6,Hatchback,91000,,,Hidráulica,Delantera,5,60 L,115,4276,1519,1815,2608 mm,10000
