Título,Ubicación,Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Piloto automático,Aire acondicionado,Dirección,Control de tracción,Capacidad de personas,Capacidad del tanque,Potencia,Largo,Altura,Ancho,Distancia entre ejes,Precio
Ford Ecosport 1.6 Titanium 110cv 4x2,Bs.As. G.B.A. Sur,Ford,Ecosport,2015,1.6 Titanium 110cv 4x2,Amarillo,Nafta,5,Manual,1.6,SUV,88000,,Sí,Eléctrica,4x2,5,52 L,110,4241,1693,1840,2670 mm,16400000
Volkswagen Suran 1.6 Trendline,Bs.As. G.B.A. Oeste,Volkswagen,Suran,2015,1.6 Trendline,Blanco,Nafta,4,Manual,1.6,Sedán,110000,,,Hidráulica,,,,,,,,,10500
Volkswagen Bora 1.8 T Highline Tiptr Cu,Capital Federal,Volkswagen,Bora,2006,1.8 T Highline Tiptr Cu,,Nafta,4,Automática,1.8,Sedán,136000,,,Hidráulica,Delantera,5,55 L,180,4376,1446,1735,2517 mm,6800
Renault Captur 1.6 Intens Cvt,Bs.As. G.B.A. Norte,Renault,Captur,2019,1.6 Intens Cvt,Blanco,Nafta,5,Automática,1.6,SUV,45000,,,,Delantera,5,45 L,115,4122,1556,1778,2670 mm,23000000
Honda Civic 1.8 Lxs Mt 140cv,Bs.As. G.B.A. Sur,Honda,Civic,2015,1.8 Lxs Mt 140cv,Blanco,Nafta,4,Manual,1.8,Sedán,155000,,,Asistida,Delantera,5,57 L,140,4525,1450,1781,2578 mm,17000000
Toyota Corolla 1.8 Xei Mt Pack,Capital Federal,Toyota,Corolla,2011,1.8 Xei Mt Pack,,Nafta,4,Manual,1.8,Sedán,174000,,,Eléctrica,Delantera,5,55 L,136,4530,1485,1760,2600 mm,8990
Renault Sandero Stepway Intens cvt,Bs.As. Costa Atlántica,Renault,Sandero Stepway,2024,Intens cvt,Gris,Nafta,5,Automática,,SUV,111111,Sí,Sí,Eléctrica,Delantera,5,50 L,115,4066,1559,1761,2590 mm,27900000
Dodge Journey 2.7 Rt Atx (3 Filas)+dvd+techo,Bs.As. G.B.A. Norte,Dodge,Journey,2011,,Gris,Nafta,5,Automática,2.7,SUV,200000,Sí,Sí,Hidráulica,4x2,7,78 L,,4887,1692,1808,2635 mm,11500
Volkswagen Gol 1.6 I Power 601,Entre Ríos,Volkswagen,Gol,2007,1.6 I Power 601,Plateado,Nafta,5,Manual,1.6,Hatchback,110000,,,Mecánica,Delantera,5,51 L,92,3951,1414,1651,2468 mm,8900000
Chevrolet Captiva 2.4 Lt 167cv,Buenos Aires Interior,Chevrolet,Captiva,2017,2.4 Lt 167cv,,Nafta,5,Manual,2.4,SUV,95000,Sí,Sí,Eléctrica,Integral,7,65 L,167,4673,1756,1815,2660 mm,18500
Ford Ka 1.0 Fly Viral 63cv,Bs.As. G.B.A. Norte,Ford,Ka,2013,1.0 Fly Viral 63cv,,Nafta,3,Manual,1.0,Hatchback,130000,,,Hidráulica,Delantera,5,45 L,63,3836,1420,1777,2625 mm,7000000
Fiat Fiorino 1.4 Fire Evo 87cv,Capital Federal,Fiat,Fiorino,2016,1.4 Fire Evo 87cv,Blanco,Nafta,3,Manual,1.4,Furgón,180000,No,Sí,Hidráulica,Delantera,2,64 L,87,4184,1873,1780,2699 mm,13500000
Citroën Berlingo Furgon 1.6 Bussines Hdi 92cv Am54,Bs.As. G.B.A. Oeste,,Berlingo Furgon,2020,1.6 Bussines Hdi 92cv Am54,,Diésel,3,Manual,1.6,Furgón,60000,,Sí,Hidráulica,Delantera,2,60 L,92,4137,1858,1608,2693 mm,13800
Volkswagen Polo 1.6 Comfortline,Bs.As. G.B.A. Norte,Volkswagen,Polo,2018,1.6 Comfortline,Blanco,Nafta,4,Manual,1.6,Sedán,96000,Sí,Sí,Hidráulica,Delantera,5,50 L,110,4384,1465,1699,2552 mm,11500
Fiat Palio 1.4 Fire Confort,Bs.As. G.B.A. Sur,Fiat,Palio,2013,1.4 Fire Confort,,Nafta,5,Manual,1.4,Hatchback,149000,,No,Mecánica,Delantera,5,48 L,82,3827,1444,1777,2430 mm,9500000
Bmw Serie 3 325i Coupe,Bs.As. G.B.A. Sur,BMW,Serie 3,2008,325i Coupe,Negro,Nafta,2,Manual,2.5,Coupé,107000,,Sí,Hidráulica,,,,,,,,,18000
Peugeot 207 1.4 Xs,Bs.As. G.B.A. Oeste,Peugeot,207,2008,1.4 Xs,Negro,Nafta,5,Manual,1.4,Hatchback,180000,,Sí,Hidráulica,Delantera,5,50 L,75,3872,1446,1720,2540 mm,6300000
Chevrolet Corsa Classic 1.6 Gl,Bs.As. G.B.A. Sur,Chevrolet,Corsa Classic,1998,1.6 Gl,Blanco,Nafta,4,Manual,1.6,Sedán,196000,,,,Delantera,5,54 L,92,4056,1420,1944,3095 mm,3800000
