Título,Ubicación,Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Piloto automático,Aire acondicionado,Dirección,Control de tracción,Capacidad de personas,Capacidad del tanque,Potencia,Largo,Altura,Ancho,Distancia entre ejes,Precio
Mercedes-Benz Clase GLA 1.6 Gla200 Urban 156cv,Bs.As. G.B.A. Norte,,Clase GLA,2017,1.6 Gla200 Urban 156cv,Gris,Nafta,5,Automática,1.6,SUV,60000,Sí,Sí,Asistida,Delantera,5,56 L,156,,,,,30000
Audi A1 1.4 S Line Tfsi 185cv Stronic,Bs.As. G.B.A. Sur,Audi,A1,2011,1.4 S Line Tfsi 185cv Stronic,Negro,Nafta,3,Automática,1.4,Hatchback,96950,No,Sí,Asistida,Delantera,4,45 L,185,3954,1416,1826,2808 mm,19000
Jeep Compass 1.3 T270 Longitude,Capital Federal,Jeep,Compass,2024,1.3 T270 Longitude,Blanco,Nafta,5,Automática,1.3,SUV,111111,Sí,Sí,Eléctrica,4x2,5,52 L,175,4404,1632,1819,2636 mm,36900
Ford Fiesta Kinetic 1.6 S,Capital Federal,Ford,Fiesta Kinetic,2017,1.6 S,Blanco,Nafta,5,Manual,1.6,Hatchback,67000,,,Eléctrica,Delantera,5,51 L,120,3969,1464,1000,2415 mm,12900000
Volkswagen Gol Trend 1.6 Pack I 101cv,Bs.As. G.B.A. Sur,Volkswagen,Gol Trend,2009,1.6 Pack I 101cv,,Nafta,5,Manual,1.6,Hatchback,143000,,,Hidráulica,Delantera,5,55 L,101,3899,1464,1656,2466 mm,8700000
Volkswagen Golf 1.4 Comfortline Tsi Dsg,Capital Federal,Volkswagen,Golf,2016,1.4 Comfortline Tsi Dsg,Gris,Nafta,5,Automática,1.4,Hatchback,106000,,,Eléctrica,Delantera,5,50 L,150,4255,1452,1799,2638 mm,17999999
Honda CR-V 2.4 Lx 2wd 185cv At,Bs.As. Costa Atlántica,Honda,CR-V,2012,2.4 Lx 2wd 185cv At,Plateado,Nafta/GNC,5,Automática,2.4,SUV,257000,Sí,,Eléctrica,4x2,5,58 L,185,4530,1655,1770,2640 mm,15400
Honda City 1.5 Ex-l At 120cv,Buenos Aires Interior,Honda,City,2010,1.5 Ex-l At 120cv,Gris,Nafta,4,Automática,1.5,Sedán,144000,Sí,,Eléctrica,Delantera,5,42 L,120,4400,1480,1695,2550 mm,10500
Ford Ranger 2.8 Xlt I Dc 4x2,Mendoza,Ford,Ranger,2004,2.8 Xlt I Dc 4x2,,Diésel,4,Manual,2.8,Pick-Up,369000,,,Hidráulica,4x2,5,75 L,132,5125,1779,1954,3192 mm,12000000
Jeep Renegade 1.8 Sport,Bs.As. G.B.A. Sur,Jeep,Renegade,2019,1.8 Sport,Negro,Nafta,5,Manual,1.8,SUV,132000,Sí,,Hidráulica,4x2,5,60 L,217,4624,1670,1798,2570 mm,23600000
Chevrolet Classic 1.4 Lt Spirit Pack,Capital Federal,Chevrolet,Classic,2013,1.4 Lt Spirit Pack,Gris,Nafta,4,Manual,1.4,Sedán,89000,,Sí,Hidráulica,Delantera,5,54 L,92,4152,1440,1954,3095 mm,7000
Renault Clio 1.5 Privilege,Bs.As. G.B.A. Sur,Renault,Clio,2005,1.5 Privilege,,Diésel,4,Manual,1.5,Sedán,200000,,,,Delantera,5,50 L,65,4150,1435,1639,2472 mm,4500000
Toyota Corolla 1.8 Xei Cvt 140cv,Capital Federal,Toyota,Corolla,2014,1.8 Xei Cvt 140cv,Gris,Nafta,4,Automática,1.8,Sedán,102000,,,Eléctrica,Delantera,5,57 L,140,4620,1460,1760,2600 mm,14200
Volkswagen Nivus 1.0 Tsi 170 Mt Confortline,Capital Federal,Volkswagen,Nivus,2022,1.0 Tsi 170 Mt Confortline,Azul,Nafta,5,Manual,1.0,SUV,600,Sí,Sí,Eléctrica,4x2,5,52 L,95,4266,1493,1757,2566 mm,23000
