Título,Ubicación,Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Piloto automático,Aire acondicionado,Dirección,Control de tracción,Capacidad de personas,Capacidad del tanque,Potencia,Largo,Altura,Ancho,Distancia entre ejes,Precio
Peugeot Partner Furgon 1.6 Hdi,Bs.As. G.B.A. Oeste,Peugeot,Partner Furgon,2018,1.6 Hdi,Blanco,Diésel,4,Manual,,Furgón,166000,No,Sí,Eléctrica,,,,,,,,,12500
Volkswagen Tiguan Allspace 1.4 Tsi Trendline 150cv Dsg,Bs.As. G.B.A. Norte,Volkswagen,Tiguan Allspace,2018,1.4 Tsi Trendline 150cv Dsg,,Nafta,5,Automática,1.4,SUV,76000,Sí,,Asistida,4x4,5,64 L,150,4427,1683,1809,2604 mm,24000
Chevrolet Celta 1.4 Lt Aa+dir,Buenos Aires Interior,Chevrolet,Celta,2013,,,Nafta,5,Manual,1.4,Hatchback,132500,,Sí,Hidráulica,Delantera,5,54 L,92,3799,1408,1944,3095 mm,10200000
Citroën Xsara Picasso 1.6 Fase2 I Exclusive,Bs.As. G.B.A. Norte,,Xsara Picasso,2012,1.6 Fase2 I Exclusive,,Nafta,5,Manual,1.6,Monovolumen,170000,,Sí,Hidráulica,Delantera,5,55 L,110,4276,1660,1877,2909 mm,6900
Ford Ecosport 2.0 My10 Xls 4x2,Bs.As. G.B.A. Sur,Ford,Ecosport,2010,2.0 My10 Xls 4x2,,Nafta/GNC,5,Manual,2.0,SUV,160000,,Sí,Hidráulica,Delantera,5,54 L,143,4240,1679,1757,2607 mm,10200000
Ford Focus 2.0 Edge,Bs.As. G.B.A. Sur,Ford,Focus,2005,2.0 Edge,,Nafta,4,Manual,2.0,Sedán,246000,,,Hidráulica,Delantera,5,55 L,130,4174,1491,1702,2615 mm,6500000
Toyota Corolla 2.0 Grs Cvt 170cv,Chaco,Toyota,Corolla,2024,2.0 Grs Cvt 170cv,,Nafta,4,Automática,2.0,Sedán,111111,Sí,,Eléctrica,Delantera,5,57 L,170,4630,1435,1780,2700 mm,40000000
Fiat Cronos 1.8 16v Precision,Buenos Aires Interior,Fiat,Cronos,2022,1.8 16v Precision,,Nafta,4,Manual,1.8,Sedán,54600,,Sí,Eléctrica,Delantera,5,48 L,130,4364,1516,1724,2521 mm,19500000
Peugeot 208 1.6 Feline Pack Cuir,Bs.As. G.B.A. Sur,Peugeot,208,2013,1.6 Feline Pack Cuir,,Nafta,5,Manual,1.6,Hatchback,81000,,,Eléctrica,Delantera,5,55 L,115,3872,1470,1702,2541 mm,10800
Volkswagen Amarok 2.0 Cd Tdi 140cv 4x2 Startline,Buenos Aires Interior,Volkswagen,Amarok,2016,2.0 Cd Tdi 140cv 4x2 Startline,Blanco,Diésel,4,Manual,2.0,Pick-Up,147000,,,Hidráulica,4x2,5,80 L,140,5254,1834,1944,3095 mm,16000
Volkswagen Gol 1.6 I Power 601 5 p,Bs.As. G.B.A. Sur,Volkswagen,Gol,2006,1.6 I Power 601 5 p,Gris,Nafta,5,Manual,1.6,Hatchback,172000,,Sí,Mecánica,Delantera,5,51 L,92,3951,1414,1651,2468 mm,6000000
Toyota Hilux Pick-Up 2.5 Cab Doble 4x2,Buenos Aires Interior,Toyota,Hilux Pick-Up,2010,2.5 Cab Doble 4x2,Blanco,Diésel,4,Manual,2.5,Pick-Up,238000,,,Hidráulica,4x2,5,80 L,102,5255,1820,1855,2860 mm,9900
Renault Duster 2.0 Ph2 4x2 Privilege 143cv,Córdoba,Renault,Duster,2018,2.0 Ph2 4x2 Privilege 143cv,Blanco,Nafta,5,Manual,2.0,SUV,108000,,,,4x2,5,50 L,143,4329,1683,1822,2674 mm,20900000
Fiat Palio 1.4 Nuevo Attractive 85cv,Bs.As. G.B.A. Norte,Fiat,Palio,2017,1.4 Nuevo Attractive 85cv,Negro,Nafta,5,Manual,1.4,Hatchback,94000,,Sí,Hidráulica,Delantera,5,48 L,85,3875,1504,1993,3665 mm,11000
Renault Master 2.3 L1h1,Bs.As. G.B.A. Norte,Renault,Master,2019,2.3 L1h1,Blanco,Nafta,3,Manual,2.3,Furgón,182000,,Sí,Eléctrica,Delantera,3,100 L,130,5048,2303,1990,3578 mm,32000000
Renault Megane 1.9 Rt,Bs.As. G.B.A. Sur,Renault,Megane,1999,1.9 Rt,,Diésel,4,Manual,1.9,Sedán,339944,,,Hidráulica,Delantera,5,60 L,100,4209,1420,1699,2580 mm,4000
Nissan Versa 1.6 Advance Mt,Capital Federal,Nissan,Versa,2017,1.6 Advance Mt,Plateado,Nafta,4,Manual,1.6,Sedán,104000,Sí,,,Delantera,5,52 L,107,4465,1533,1695,2600 mm,16900000
Fiat Fiorino 1.3 Fire,Capital Federal,Fiat,Fiorino,2012,1.3 Fire,,Nafta,3,Manual,1.3,Furgón,112000,,No,Mecánica,Delantera,2,64 L,68,4184,1873,2210,4250 mm,9000
Ford Ranger 3.2 Cd 4x4 Xls Tdci 200cv,Bs.As. G.B.A. Sur,Ford,Ranger,2013,3.2 Cd 4x4 Xls Tdci 200cv,,Diésel,4,Manual,3.2,Pick-Up,125000,,,Eléctrica,Integral,5,80 L,200,5359,1815,1775,2700 mm,22400000
Volkswagen Amarok 3.0 V6 Cd Highline,Capital Federal,Volkswagen,Amarok,2023,3.0 V6 Cd Highline,Gris,Diésel,4,Automática,3.0,Pick-Up,1111,,,,4x4,5,80 L,224,5254,1834,1944,3095 mm,50700000
